raw            corrected [kcal/mol]
-132.81        -117.14        
-127.37        -111.42        
-127.19        -111.69        
-119.29        -104.92        
-137.13        -121.75        
-132.67        -118.11        
-124.02        -109.95        
-125.46        -109.55        
-134.15        -118.95        
-125.34        -108.87        
-132.47        -116.26        
-130.38        -115.32        
-127.37        -111.42        
-127.47        -113.32        
-110.51        -95.73         
-110.51        -99.32         
-127.13        -111.64        
-123.96        -107.77        
-127.18        -109.72        
-122.97        -108.54        
-135.42        -119.82        
-123.39        -108.03        
-126.74        -111.91        
-117.31        -100.72        
-124.16        -110.92        
-120.57        -105.58        
-113.15        -96.48         
-135.14        -118.94        
-123.97        -110.23        
-131.82        -116.95        
-128.41        -111.03        
-107.65        -93.43         
-122.62        -106.20        
-127.80        -111.66        
369.11         388.76         
-110.23        -96.88         
-121.85        -106.27        
-120.64        -104.24        
-119.17        -103.47        
-126.54        -109.73        
-114.86        -99.01         
-113.36        -98.44         
-128.99        -112.96        
-123.12        -106.92        
-132.74        -116.61        
-128.52        -113.66        
-116.01        -100.66        
-141.57        -124.18        
-117.43        -102.77        
-123.78        -107.37        
-129.39        -115.05        
-122.89        -106.09        
-126.14        -109.99        
-126.18        -108.99        
-117.85        -103.00        
-122.19        -104.50        
-131.82        -115.80        
-120.84        -106.85        
-131.48        -115.90        
-113.72        -97.76         
-110.17        -95.89         
-122.84        -108.78        
-120.35        -104.81        
-134.54        -119.65        
-104.61        -88.30         
-137.57        -122.57        
-112.60        -94.44         
-112.25        -96.15         
-113.85        -99.07         
-93.96         -77.39         
-123.54        -105.86        
-127.61        -110.90        
-126.31        -110.36        
-106.76        -92.74         
-124.33        -108.49        
-133.53        -117.01        
-120.47        -106.38        
-120.19        -104.64        
-113.28        -98.64         
-106.43        -91.50         
-119.79        -104.75        
-117.97        -99.38         
-116.42        -100.25        
-118.20        -103.01        
-127.28        -111.45        
-123.60        -106.45        
-129.32        -112.21        
-119.94        -105.23        
-125.64        -109.42        
-125.38        -108.25        
-134.54        -119.65        
-122.60        -108.12        
-122.74        -106.71        
-131.99        -116.33        
-133.13        -118.16        
-124.77        -111.99        
-139.15        -122.57        
-132.16        -115.57        
-119.27        -103.07        
-131.07        -115.01        
-119.90        -104.42        
-131.30        -113.34        
-120.65        -105.01        
-119.73        -101.86        
-136.77        -120.05        
-108.08        -92.02         
-129.53        -114.41        
-117.74        -100.05        
-125.69        -111.00        
-113.49        -98.85         
-125.02        -106.75        
-121.49        -106.19        
-102.89        -86.93         
-115.92        -99.20         
-121.15        -105.63        
-118.42        -102.43        
-134.98        -119.83        
-118.54        -102.27        
-121.94        -106.88        
-134.76        -118.64        
-124.05        -107.49        
