Dipole out_1.log
      -104.0570       -46.9198       -69.6154
       -96.0628       -96.0182       -96.0345
        -8.4772        48.8435        26.1245
       -96.0641       -96.0641       -96.0641
        -8.4906        48.8702        26.1114
Quadrupole A out_1.log
     -1466.1688      1211.0839       255.0849
        -0.9154         0.5538         0.3616
     -1470.9581      1217.5674       253.3907
         0.0000         0.0000         0.0000
     -1471.5244      1218.6175       252.9069
Quadrupole B out_1.log
     -1118.5907     -1656.0990      -582.6345
     -1920.3362     -1920.5580     -1919.7648
       788.2132       249.8226      1327.4728
     -1921.2817     -1921.2817     -1921.2817
       788.5578       249.2719      1327.7201
Quadrupole out_1.log
     -3446.7703      -769.5176     -1725.5167
     -1945.0833     -1943.6141     -1943.8064
     -1472.3361      1216.1894       252.0128
     -1942.8837     -1942.8837     -1942.8837
     -1473.1835      1216.9584       251.2478
